spend_M,marginal_ce_multiplier
10,1.000000
20,1.000000
30,1.000000
40,1.000000
50,1.000000
60,1.000000
70,1.000000
80,1.000000
90,1.000000
100,1.000000
110,1.000000
120,1.000000
130,1.000000
140,1.000000
150,1.000000
160,1.000000
170,1.000000
180,1.000000
190,1.000000
200,1.000000
210,1.000000
220,1.000000
230,1.000000
240,1.000000
250,1.000000
260,1.000000
270,0.999428
280,0.998285
290,0.997141
300,0.995998
310,0.994854
320,0.993711
330,0.992567
340,0.991424
350,0.990280
360,0.989137
370,0.987993
380,0.986850
390,0.985706
400,0.984563
410,0.983419
420,0.982276
430,0.981132
440,0.979989
450,0.978845
460,0.977702
470,0.976558
480,0.975415
490,0.974271
500,0.973128
510,0.971984
520,0.970840
530,0.969697
540,0.968553
550,0.967410
560,0.966266
570,0.965123
580,0.963979
590,0.962836
600,0.961692
610,0.960549
620,0.959405
630,0.958262
640,0.957118
650,0.955975
660,0.954831
670,0.953688
680,0.952544
690,0.951401
700,0.950257
710,0.948666
720,0.946945
730,0.945223
740,0.943502
750,0.941781
760,0.940060
770,0.938338
780,0.936617
790,0.934896
800,0.933174
810,0.931453
820,0.929732
830,0.928011
840,0.926289
850,0.924568
860,0.922847
870,0.921125
880,0.919404
890,0.917683
900,0.915962
